Year,Age Group,Value
2014,<15,103.8461538
2014,>40,1280.384615
2015,15-17,1029.615385
2015,18-19,2345.769231
2015,20-24,10743.46154
2015,25-29,9560
2015,30-34,6110.769231
2015,35-39,3465.192308
2015,<15,88.26923077
2015,>40,1225.384615
2016,15-17,960
2016,18-19,2184.038462
2016,20-24,10059.23077
2016,25-29,9589.807692
2016,30-34,6051.153846
2016,35-39,3461.346154
2016,<15,81.92307692
2016,>40,1192.884615
2017,15-17,784.0384615
2017,18-19,1882.692308
2017,20-24,9669.807692
2017,25-29,9618.461538
2017,30-34,6088.076923
2017,35-39,3506.153846
2017,<15,74.03846154
2017,>40,1184.615385
